inventory_id,product_id,warehouse_id,warehouse_name,location,stock_quantity,reserved_quantity,available_quantity,reorder_level,last_restocked,last_audit,created_timestamp
INV001,P001,WH001,Central Warehouse,A1-B2,45,5,40,20,2025-01-15,2025-01-10,2025-01-16 08:30:15
INV002,P002,WH001,Central Warehouse,A3-B1,32,3,29,15,2025-01-14,2025-01-11,2025-01-16 09:15:22
INV003,P003,WH002,East Warehouse,C1-D3,18,2,16,10,2025-01-16,2025-01-12,2025-01-16 10:45:33
INV004,P004,WH001,Central Warehouse,B1-C2,67,8,59,25,2025-01-15,2025-01-13,2025-01-16 11:20:44
INV005,P005,WH003,West Warehouse,D1-E2,89,12,77,30,2025-01-14,2025-01-14,2025-01-16 12:10:55
INV006,P006,WH001,Central Warehouse,A2-B3,23,1,22,12,2025-01-16,2025-01-15,2025-01-16 13:25:16
INV007,P007,WH002,East Warehouse,C2-D1,56,7,49,20,2025-01-15,2025-01-16,2025-01-16 14:40:27
INV008,P008,WH003,West Warehouse,D2-E1,12,0,12,8,2025-01-16,2025-01-16,2025-01-16 15:55:38
INV009,P009,WH001,Central Warehouse,A4-B1,34,4,30,18,2025-01-14,2025-01-16,2025-01-16 16:30:49
INV010,P010,WH002,East Warehouse,C3-D2,78,9,69,35,2025-01-15,2025-01-16,2025-01-16 17:45:50
